iter	Logloss
0	0.6490849351
1	0.6081042737
2	0.5728162926
3	0.5404729326
4	0.5155300301
5	0.4915134084
6	0.4707435467
7	0.4534474578
8	0.4360607756
9	0.4203021055
10	0.4074315777
11	0.3943845078
12	0.3828232893
13	0.3732543454
14	0.363002717
15	0.3542096846
16	0.3494837276
17	0.3422660149
18	0.3361287118
19	0.3295976332
20	0.3265074876
21	0.3209097238
22	0.3153581475
23	0.3111399812
24	0.3074398179
25	0.3040034471
26	0.300424039
27	0.2976082027
28	0.2965104928
29	0.2936404752
30	0.2912502707
31	0.2885319391
32	0.2859252792
33	0.2836621958
34	0.281861761
35	0.28001083
36	0.2781649925
37	0.2765324222
38	0.2750437222
39	0.273492328
40	0.2721829771
41	0.2717796634
42	0.2704100129
43	0.2701444517
44	0.2687945539
45	0.2675643198
46	0.2664156784
47	0.2651023411
48	0.2638340406
49	0.2636934321
50	0.2625348176
51	0.2618097901
52	0.2607931514
53	0.260007072
54	0.2589762289
55	0.258284274
56	0.2573509365
57	0.2566719265
58	0.2561093409
59	0.2552690722
60	0.2544922725
61	0.2539762742
62	0.2533008483
63	0.2526192394
64	0.2520454201
65	0.2515091375
66	0.2509304722
67	0.2502572588
68	0.2497218807
69	0.2492351639
70	0.2484211045
71	0.2477729879
72	0.2473171421
73	0.2470289339
74	0.2462461068
75	0.2458893723
76	0.2457070039
77	0.2454036669
78	0.2453759955
79	0.2447881274
80	0.2440531279
81	0.2436679847
82	0.2431810258
83	0.2427606526
84	0.2422106177
85	0.2418171406
86	0.2414922737
87	0.2411526529
88	0.2407290022
89	0.2400746994
90	0.2393857981
91	0.2388434216
92	0.2385100243
93	0.2380886902
94	0.2378017538
95	0.2373997184
96	0.2369117211
97	0.2361957006
98	0.2361526928
99	0.2356981812
