iter	Logloss
0	0.649334979
1	0.6086206351
2	0.5735087777
3	0.5409681232
4	0.5160568015
5	0.4944947307
6	0.4721420473
7	0.4515359205
8	0.4324555056
9	0.4163876626
10	0.402420129
11	0.3903953634
12	0.3798281008
13	0.3734022323
14	0.3665550955
15	0.3581748775
16	0.3493545945
17	0.3428855805
18	0.3377152161
19	0.3313854898
20	0.3258241993
21	0.3204087917
22	0.3164388697
23	0.312474084
24	0.3083286122
25	0.3040862479
26	0.3007024985
27	0.2976786883
28	0.2945077936
29	0.2919012972
30	0.2892566464
31	0.28683564
32	0.2844409237
33	0.2822406035
34	0.2803271474
35	0.2783512215
36	0.2770404863
37	0.2754111728
38	0.2737738967
39	0.2725033793
40	0.2711071246
41	0.2696045943
42	0.2682900961
43	0.2670776581
44	0.2656923636
45	0.2641138557
46	0.2629665318
47	0.2617553948
48	0.2605766919
49	0.2592833165
50	0.2583342012
51	0.2577679542
52	0.2568311718
53	0.2561027542
54	0.2553671471
55	0.2545579017
56	0.2539497749
57	0.2532542237
58	0.2524721183
59	0.2516482678
60	0.2511703566
61	0.2504012972
62	0.2498861418
63	0.2492657363
64	0.2490834905
65	0.2485750228
66	0.2479667152
67	0.247172642
68	0.2467268954
69	0.2460388658
70	0.2455186159
71	0.2450264001
72	0.2443116474
73	0.2435706547
74	0.2428792254
75	0.2424389607
76	0.2419783238
77	0.241766905
78	0.241709281
79	0.2411690538
80	0.2407326371
81	0.240347211
82	0.2397665207
83	0.2395910192
84	0.239086401
85	0.2388227088
86	0.2385645912
87	0.2381991483
88	0.237613732
89	0.2370999507
90	0.2367623176
91	0.2361298727
92	0.2357960642
93	0.2354824283
94	0.2350562491
95	0.2343699257
96	0.2338824855
97	0.2333556136
98	0.2329955068
99	0.2326887528
