iter	Passed	Remaining
0	33	3349
1	61	3034
2	93	3008
3	113	2716
4	123	2346
5	128	2010
6	146	1951
7	155	1785
8	184	1864
9	214	1930
10	251	2032
11	290	2127
12	320	2141
13	323	1988
14	329	1869
15	357	1876
16	391	1909
17	423	1927
18	430	1834
19	459	1838
20	489	1842
21	519	1842
22	529	1772
23	557	1764
24	584	1754
25	618	1760
26	652	1764
27	685	1763
28	718	1760
29	758	1769
30	801	1783
31	829	1762
32	856	1739
33	887	1722
34	919	1706
35	951	1692
36	1002	1706
37	1044	1703
38	1092	1709
39	1132	1698
40	1170	1684
41	1210	1671
42	1243	1648
43	1277	1625
44	1309	1600
45	1343	1576
46	1371	1546
47	1405	1522
48	1448	1507
49	1481	1481
50	1516	1457
51	1529	1411
52	1560	1383
53	1595	1358
54	1633	1336
55	1667	1310
56	1701	1283
57	1737	1257
58	1772	1231
59	1804	1203
60	1836	1174
61	1875	1149
62	1904	1118
63	1932	1087
64	1938	1043
65	1969	1014
66	2003	986
67	2035	957
68	2067	928
69	2102	900
70	2138	873
71	2169	843
72	2203	814
73	2241	787
74	2275	758
75	2311	730
76	2346	700
77	2358	665
78	2365	628
79	2401	600
80	2441	572
81	2481	544
82	2524	517
83	2531	482
84	2569	453
85	2609	424
86	2651	396
87	2693	367
88	2734	337
89	2766	307
90	2800	276
91	2836	246
92	2871	216
93	2908	185
94	2953	155
95	3008	125
96	3054	94
97	3094	63
98	3132	31
99	3175	0
