iter	Passed	Remaining
0	31	3073
1	67	3323
2	100	3253
3	121	2915
4	130	2475
5	167	2617
6	211	2810
7	231	2663
8	275	2787
9	317	2860
10	354	2867
11	358	2632
12	397	2656
13	440	2706
14	476	2698
15	514	2700
16	557	2720
17	593	2704
18	617	2632
19	661	2646
20	670	2524
21	709	2516
22	744	2493
23	753	2387
24	792	2377
25	797	2269
26	836	2261
27	877	2256
28	883	2162
29	920	2148
30	959	2135
31	1003	2132
32	1041	2114
33	1046	2031
34	1056	1962
35	1091	1940
36	1134	1931
37	1174	1915
38	1222	1912
39	1271	1907
40	1312	1889
41	1353	1869
42	1389	1842
43	1425	1814
44	1461	1785
45	1496	1757
46	1530	1726
47	1571	1701
48	1575	1639
49	1581	1581
50	1620	1556
51	1660	1532
52	1694	1502
53	1735	1478
54	1781	1457
55	1819	1429
56	1858	1401
57	1891	1369
58	1925	1337
59	1957	1305
60	1996	1276
61	2038	1249
62	2074	1218
63	2109	1186
64	2146	1155
65	2185	1125
66	2222	1094
67	2267	1067
68	2304	1035
69	2342	1003
70	2374	969
71	2414	938
72	2457	908
73	2491	875
74	2542	847
75	2586	816
76	2631	786
77	2671	753
78	2716	722
79	2761	690
80	2767	649
81	2811	617
82	2852	584
83	2893	551
84	2929	516
85	2963	482
86	2998	448
87	3038	414
88	3080	380
89	3118	346
90	3161	312
91	3206	278
92	3261	245
93	3304	210
94	3317	174
95	3355	139
96	3395	105
97	3431	70
98	3467	35
99	3508	0
