iter	Passed	Remaining
0	48	4752
1	81	3974
2	117	3796
3	144	3462
4	153	2919
5	184	2896
6	220	2932
7	235	2712
8	269	2725
9	302	2719
10	334	2703
11	337	2476
12	367	2461
13	401	2469
14	436	2476
15	478	2513
16	514	2512
17	520	2370
18	556	2370
19	610	2443
20	646	2430
21	682	2421
22	732	2453
23	745	2359
24	785	2355
25	817	2326
26	850	2300
27	883	2272
28	916	2242
29	952	2223
30	995	2215
31	1036	2202
32	1076	2184
33	1116	2167
34	1157	2148
35	1199	2132
36	1237	2107
37	1278	2086
38	1314	2055
39	1350	2025
40	1387	1997
41	1430	1974
42	1446	1917
43	1481	1885
44	1513	1849
45	1547	1816
46	1579	1781
47	1614	1749
48	1648	1716
49	1679	1679
50	1717	1649
51	1762	1626
52	1806	1601
53	1837	1565
54	1869	1529
55	1900	1493
56	1930	1456
57	1961	1420
58	1995	1386
59	2028	1352
60	2063	1319
61	2098	1286
62	2133	1252
63	2165	1217
64	2196	1182
65	2225	1146
66	2258	1112
67	2292	1078
68	2325	1044
69	2360	1011
70	2394	978
71	2423	942
72	2458	909
73	2494	876
74	2524	841
75	2554	806
76	2583	771
77	2612	736
78	2641	702
79	2671	667
80	2674	627
81	2703	593
82	2743	561
83	2775	528
84	2814	496
85	2848	463
86	2879	430
87	2912	397
88	2945	364
89	2979	331
90	3009	297
91	3038	264
92	3071	231
93	3100	197
94	3132	164
95	3172	132
96	3213	99
97	3247	66
98	3291	33
99	3338	0
