iter	Logloss
0	0.6482052017
1	0.6074255053
2	0.5723046612
3	0.539913593
4	0.514945653
5	0.4904409613
6	0.4695902881
7	0.4523073934
8	0.4349877603
9	0.4196607025
10	0.4045178146
11	0.3964331161
12	0.3853564807
13	0.3744036743
14	0.3640665474
15	0.3566128812
16	0.3494970363
17	0.3450962332
18	0.3388080507
19	0.3322542583
20	0.3263827674
21	0.321370953
22	0.316027001
23	0.3124241884
24	0.3082429223
25	0.3042759554
26	0.300489426
27	0.2970527164
28	0.2939052544
29	0.2917545081
30	0.2886519727
31	0.2860651497
32	0.2833611028
33	0.280915758
34	0.2788661338
35	0.277054735
36	0.2748807087
37	0.2732734164
38	0.2715755771
39	0.2701604054
40	0.2690703108
41	0.2677810815
42	0.2670852798
43	0.2660241596
44	0.2646964591
45	0.2635097269
46	0.2623201931
47	0.2612686659
48	0.2603657754
49	0.2594494602
50	0.258545364
51	0.2575950686
52	0.2568313925
53	0.2559744518
54	0.2551863927
55	0.2543781511
56	0.2534687986
57	0.2527135651
58	0.2519457609
59	0.2512987754
60	0.2505916664
61	0.2501534032
62	0.2496152972
63	0.2490404816
64	0.2485997272
65	0.2479677447
66	0.2470709503
67	0.2465399524
68	0.2459026625
69	0.2454804012
70	0.2449273928
71	0.2444976166
72	0.2440363043
73	0.2430749245
74	0.2426121904
75	0.241828411
76	0.2411814342
77	0.2406293748
78	0.2401480496
79	0.2396769493
80	0.2396625875
81	0.2392686729
82	0.2386209977
83	0.2383663588
84	0.2380911017
85	0.2377460056
86	0.2373575358
87	0.2364847593
88	0.2362600818
89	0.2359092476
90	0.2354043126
91	0.2348270126
92	0.2342571327
93	0.2339354096
94	0.2333092762
95	0.23280354
96	0.2324028289
97	0.2318489728
98	0.2310172252
99	0.2305905134
