iter	Passed	Remaining
0	48	4767
1	90	4426
2	130	4205
3	155	3738
4	165	3140
5	210	3296
6	255	3388
7	266	3069
8	303	3065
9	345	3110
10	390	3156
11	398	2921
12	453	3036
13	511	3143
14	556	3150
15	602	3162
16	610	2981
17	646	2945
18	690	2943
19	733	2935
20	739	2780
21	777	2758
22	817	2738
23	864	2737
24	910	2730
25	950	2705
26	957	2589
27	961	2472
28	996	2440
29	1039	2426
30	1083	2410
31	1127	2395
32	1166	2369
33	1201	2333
34	1207	2241
35	1246	2215
36	1291	2198
37	1327	2166
38	1371	2145
39	1411	2117
40	1446	2081
41	1504	2078
42	1561	2070
43	1612	2052
44	1620	1980
45	1624	1907
46	1665	1877
47	1704	1846
48	1751	1823
49	1788	1788
50	1830	1758
51	1872	1728
52	1922	1704
53	1965	1674
54	2002	1638
55	2037	1600
56	2075	1565
57	2119	1534
58	2159	1500
59	2199	1466
60	2236	1429
61	2272	1392
62	2315	1359
63	2354	1324
64	2394	1289
65	2433	1253
66	2471	1217
67	2515	1183
68	2563	1151
69	2612	1119
70	2656	1084
71	2696	1048
72	2735	1011
73	2781	977
74	2831	943
75	2873	907
76	2918	871
77	2951	832
78	2987	794
79	3033	758
80	3071	720
81	3109	682
82	3150	645
83	3153	600
84	3186	562
85	3223	524
86	3266	488
87	3270	445
88	3312	409
89	3354	372
90	3392	335
91	3435	298
92	3475	261
93	3517	224
94	3524	185
95	3571	148
96	3616	111
97	3655	74
98	3698	37
99	3734	0
