iter	Logloss
0	0.6492649512
1	0.608811714
2	0.573850232
3	0.5417967187
4	0.516865177
5	0.4923175655
6	0.4721982877
7	0.4550028808
8	0.4376042225
9	0.421967911
10	0.4070207049
11	0.3988422348
12	0.3889733993
13	0.3776318888
14	0.3677770261
15	0.3590065957
16	0.3524925182
17	0.3452185917
18	0.339339462
19	0.3320467479
20	0.3289122158
21	0.3229862055
22	0.3175723686
23	0.3132761701
24	0.3097930213
25	0.306375057
26	0.3039148465
27	0.3027407079
28	0.2995024354
29	0.2967447289
30	0.2935275281
31	0.290829183
32	0.288320171
33	0.285777939
34	0.2850107543
35	0.2828939827
36	0.2806464742
37	0.2787399863
38	0.2767768566
39	0.2754221196
40	0.2737263681
41	0.2723364614
42	0.2712094034
43	0.2698176023
44	0.2695675852
45	0.2688851267
46	0.2679583439
47	0.266797385
48	0.2657511385
49	0.2646359917
50	0.2635354138
51	0.2625703232
52	0.2614493923
53	0.2607742334
54	0.2599814579
55	0.2592673898
56	0.2586697033
57	0.2579196058
58	0.2569012256
59	0.2559307378
60	0.2552360273
61	0.2546686936
62	0.2540552139
63	0.2533118165
64	0.2527664312
65	0.2522122967
66	0.25157931
67	0.2510351671
68	0.250474212
69	0.2497828738
70	0.24911281
71	0.2484631273
72	0.2478835737
73	0.2473627192
74	0.246899223
75	0.2464464756
76	0.2457983909
77	0.2453714742
78	0.2448199986
79	0.2442335647
80	0.2436683466
81	0.2432651071
82	0.2425747013
83	0.2425609121
84	0.2421781029
85	0.2415986617
86	0.241210605
87	0.2411375737
88	0.2406053836
89	0.2399352288
90	0.2396378527
91	0.2392389456
92	0.2386845194
93	0.2382406582
94	0.238163218
95	0.2378091946
96	0.2375366515
97	0.2369604201
98	0.2367061943
99	0.236177867
