iter	Logloss
0	0.648375789
1	0.607372806
2	0.5720546134
3	0.5388490459
4	0.5140816295
5	0.489357702
6	0.4729975426
7	0.4529640355
8	0.4351888117
9	0.4242509386
10	0.4108186192
11	0.398492354
12	0.386954689
13	0.3759396929
14	0.3655822745
15	0.3590573038
16	0.3550023572
17	0.3468525455
18	0.3399272713
19	0.3335921686
20	0.3274033698
21	0.3213940778
22	0.31667579
23	0.3126123644
24	0.3080873642
25	0.3048470612
26	0.3011541546
27	0.2977785527
28	0.2943077479
29	0.2916811325
30	0.2894730011
31	0.2868417071
32	0.2843146758
33	0.2818840526
34	0.2799478821
35	0.2781309793
36	0.2761575056
37	0.2741591478
38	0.2728777528
39	0.2718599991
40	0.2705285526
41	0.2690312061
42	0.26842989
43	0.2668128645
44	0.2652581944
45	0.2641318975
46	0.2625561634
47	0.2612230078
48	0.26018373
49	0.2588960003
50	0.2580139516
51	0.2571356446
52	0.2561523983
53	0.2553062286
54	0.2543485535
55	0.2532360482
56	0.2525303787
57	0.2519111896
58	0.2511178709
59	0.2503983181
60	0.249869266
61	0.2489302261
62	0.2483280254
63	0.2475901789
64	0.2470306667
65	0.2467553367
66	0.2461937234
67	0.2455085704
68	0.244824111
69	0.2447983648
70	0.244115437
71	0.2432753416
72	0.242507687
73	0.2424174217
74	0.2420447872
75	0.2416302089
76	0.2411231415
77	0.2406880903
78	0.2402005799
79	0.2393577029
80	0.2392684001
81	0.238895851
82	0.238538905
83	0.2381055733
84	0.2377828124
85	0.2374830859
86	0.2371106479
87	0.2365699459
88	0.2364924921
89	0.2360328153
90	0.2356960398
91	0.2354988579
92	0.2349293813
93	0.2345388632
94	0.2344907714
95	0.2339380565
96	0.2336525207
97	0.2334140441
98	0.2326081964
99	0.2320145963
