iter	Passed	Remaining
0	38	3767
1	67	3313
2	105	3416
3	135	3248
4	149	2844
5	203	3185
6	217	2894
7	235	2712
8	279	2829
9	286	2579
10	327	2646
11	342	2510
12	386	2586
13	430	2646
14	469	2660
15	482	2532
16	490	2397
17	529	2410
18	564	2407
19	602	2408
20	647	2437
21	693	2457
22	739	2474
23	782	2478
24	825	2476
25	870	2478
26	914	2471
27	957	2461
28	1002	2453
29	1047	2443
30	1091	2430
31	1139	2420
32	1191	2419
33	1238	2404
34	1280	2378
35	1326	2358
36	1376	2342
37	1428	2330
38	1474	2305
39	1482	2224
40	1529	2201
41	1571	2169
42	1576	2089
43	1619	2061
44	1670	2041
45	1720	2020
46	1769	1995
47	1809	1960
48	1855	1931
49	1904	1904
50	1944	1868
51	1989	1836
52	2030	1800
53	2066	1760
54	2105	1723
55	2159	1696
56	2202	1661
57	2240	1622
58	2279	1584
59	2319	1546
60	2357	1507
61	2391	1465
62	2431	1427
63	2474	1391
64	2508	1350
65	2514	1295
66	2554	1258
67	2593	1220
68	2630	1181
69	2635	1129
70	2670	1090
71	2708	1053
72	2756	1019
73	2761	970
74	2797	932
75	2826	892
76	2858	853
77	2890	815
78	2923	777
79	2952	738
80	2956	693
81	2983	654
82	3010	616
83	3038	578
84	3066	541
85	3101	504
86	3135	468
87	3165	431
88	3171	391
89	3202	355
90	3235	320
91	3247	282
92	3283	247
93	3318	211
94	3323	174
95	3356	139
96	3383	104
97	3412	69
98	3443	34
99	3475	0
