iter	Passed	Remaining
0	10	1030
1	57	2817
2	64	2085
3	109	2630
4	139	2643
5	150	2352
6	158	2111
7	206	2375
8	249	2525
9	272	2451
10	319	2585
11	331	2431
12	380	2543
13	420	2581
14	423	2402
15	469	2463
16	507	2478
17	554	2525
18	602	2568
19	608	2433
20	646	2432
21	694	2461
22	743	2488
23	788	2496
24	827	2481
25	837	2382
26	879	2377
27	891	2292
28	943	2310
29	996	2324
30	1057	2354
31	1110	2359
32	1150	2334
33	1188	2307
34	1224	2273
35	1263	2245
36	1308	2227
37	1350	2203
38	1392	2178
39	1431	2146
40	1476	2125
41	1523	2104
42	1565	2075
43	1601	2038
44	1637	2001
45	1683	1976
46	1721	1941
47	1727	1871
48	1764	1836
49	1799	1799
50	1841	1769
51	1885	1740
52	1923	1705
53	1967	1676
54	2014	1648
55	2056	1616
56	2102	1585
57	2159	1564
58	2210	1536
59	2255	1503
60	2293	1466
61	2338	1433
62	2397	1408
63	2444	1374
64	2451	1319
65	2458	1266
66	2504	1233
67	2553	1201
68	2609	1172
69	2662	1141
70	2705	1104
71	2751	1069
72	2800	1035
73	2849	1001
74	2897	965
75	2937	927
76	3000	896
77	3063	864
78	3110	826
79	3146	786
80	3188	747
81	3235	710
82	3290	673
83	3342	636
84	3390	598
85	3444	560
86	3489	521
87	3537	482
88	3591	443
89	3646	405
90	3694	365
91	3744	325
92	3790	285
93	3798	242
94	3845	202
95	3895	162
96	3943	121
97	4002	81
98	4067	41
99	4108	0
