iter	Logloss
0	0.6481894432
1	0.6116809825
2	0.5767715543
3	0.543917507
4	0.5179996286
5	0.4982520186
6	0.4804562729
7	0.4593861343
8	0.439547132
9	0.4229961527
10	0.4064981388
11	0.3972487792
12	0.3852129269
13	0.3743785977
14	0.3685933322
15	0.3597218338
16	0.3514265111
17	0.3435610668
18	0.3368803603
19	0.3339686268
20	0.3283302074
21	0.3239802241
22	0.3189669916
23	0.3141550557
24	0.3095191865
25	0.3074701116
26	0.3039906314
27	0.3015931097
28	0.2982713008
29	0.2955710762
30	0.2927805499
31	0.2903466331
32	0.2875951011
33	0.2854365614
34	0.2830774101
35	0.2809844728
36	0.2790315781
37	0.2771324153
38	0.2755103016
39	0.2744894408
40	0.2732083939
41	0.2716317857
42	0.2701307558
43	0.2687875289
44	0.2676427115
45	0.2662134277
46	0.2648102075
47	0.2640868524
48	0.262829227
49	0.2617079522
50	0.2605206746
51	0.2595366354
52	0.2586340056
53	0.2577986808
54	0.2568381357
55	0.2560701916
56	0.2554875141
57	0.2548940521
58	0.2542057902
59	0.2531014826
60	0.2523584876
61	0.2516231237
62	0.2506553201
63	0.2501663299
64	0.2498622252
65	0.249748321
66	0.2493385005
67	0.2487770876
68	0.2480894921
69	0.2473015434
70	0.2467106041
71	0.2460982837
72	0.2453990566
73	0.2447609863
74	0.2442316559
75	0.2437228828
76	0.2431825467
77	0.2427385673
78	0.2422517615
79	0.2417744826
80	0.2412037551
81	0.2406406738
82	0.2402789281
83	0.2399259716
84	0.2394531309
85	0.2391433535
86	0.2387742174
87	0.2383162724
88	0.2379635708
89	0.2373774544
90	0.2368980373
91	0.2365992243
92	0.2362894268
93	0.2362479983
94	0.2358649806
95	0.2352405655
96	0.2349646289
97	0.234705535
98	0.2343361868
99	0.2339827549
