iter	Logloss
0	0.6487120247
1	0.6082295756
2	0.5732508127
3	0.5406560048
4	0.515795041
5	0.4910948957
6	0.4704942504
7	0.4532729441
8	0.4359833608
9	0.4201898733
10	0.4046789474
11	0.3966007868
12	0.3852134075
13	0.3743676161
14	0.3650934686
15	0.3561389704
16	0.349794353
17	0.3426544707
18	0.3372085077
19	0.3314571381
20	0.3254867009
21	0.3202066479
22	0.3159464343
23	0.3114102214
24	0.3070749388
25	0.3051908406
26	0.3018028573
27	0.2987325499
28	0.2957842083
29	0.2930192336
30	0.2899115934
31	0.2875220267
32	0.2848596796
33	0.2824313468
34	0.2801978445
35	0.2779633255
36	0.2760131139
37	0.2747430328
38	0.273544389
39	0.2719403122
40	0.2704125549
41	0.2689815645
42	0.2678190521
43	0.2664661061
44	0.2650617438
45	0.263856318
46	0.2622670339
47	0.2610565926
48	0.2598006557
49	0.258780299
50	0.2576358416
51	0.2564281839
52	0.2555192531
53	0.2547681272
54	0.2538098546
55	0.2529732072
56	0.2522020155
57	0.2513135997
58	0.2506946199
59	0.2499295725
60	0.2493914589
61	0.2487686726
62	0.2481594265
63	0.247552859
64	0.2467348729
65	0.2459303723
66	0.245406398
67	0.2450813383
68	0.2444742965
69	0.2438442827
70	0.2437842815
71	0.2433101145
72	0.2431671874
73	0.242443301
74	0.2419613179
75	0.2414581093
76	0.2410776954
77	0.2404708596
78	0.2399601419
79	0.2394355769
80	0.2389606798
81	0.2382508222
82	0.2377782998
83	0.2374497746
84	0.2367625086
85	0.2360877783
86	0.2357186065
87	0.2350369878
88	0.2344521729
89	0.2342127584
90	0.2338959313
91	0.2338478821
92	0.233291388
93	0.2326448719
94	0.2321110181
95	0.2318613447
96	0.2312503748
97	0.2308310953
98	0.2303357334
99	0.2296065142
