iter	Passed	Remaining
0	37	3740
1	76	3748
2	115	3744
3	136	3283
4	150	2855
5	185	2902
6	233	3099
7	249	2863
8	293	2967
9	334	3009
10	373	3025
11	380	2792
12	426	2851
13	467	2868
14	507	2873
15	541	2845
16	556	2719
17	597	2723
18	613	2614
19	650	2603
20	684	2575
21	720	2553
22	758	2539
23	822	2604
24	888	2665
25	898	2556
26	941	2544
27	983	2528
28	1042	2552
29	1084	2529
30	1124	2503
31	1158	2460
32	1202	2440
33	1244	2415
34	1287	2390
35	1335	2374
36	1379	2349
37	1424	2324
38	1470	2299
39	1514	2272
40	1559	2243
41	1598	2207
42	1637	2170
43	1682	2141
44	1724	2107
45	1763	2069
46	1815	2046
47	1846	2000
48	1888	1966
49	1938	1938
50	1981	1904
51	2020	1864
52	2055	1822
53	2094	1784
54	2134	1746
55	2177	1710
56	2222	1676
57	2258	1635
58	2304	1601
59	2348	1565
60	2394	1530
61	2436	1493
62	2478	1455
63	2520	1417
64	2559	1377
65	2606	1342
66	2648	1304
67	2662	1252
68	2709	1217
69	2758	1182
70	2766	1129
71	2810	1092
72	2826	1045
73	2877	1011
74	2927	975
75	2970	938
76	3018	901
77	3063	864
78	3113	827
79	3163	790
80	3207	752
81	3254	714
82	3304	676
83	3347	637
84	3396	599
85	3439	559
86	3481	520
87	3526	480
88	3570	441
89	3615	401
90	3655	361
91	3666	318
92	3709	279
93	3753	239
94	3797	199
95	3852	160
96	3895	120
97	3937	80
98	3982	40
99	4028	0
