iter	Logloss
0	0.6484751361
1	0.607902452
2	0.5729069425
3	0.5403341499
4	0.5157441846
5	0.490929661
6	0.4709348583
7	0.4538833117
8	0.436698601
9	0.4212382745
10	0.4084392965
11	0.3955869668
12	0.3840521809
13	0.3743297235
14	0.3640811189
15	0.3549146527
16	0.3504475417
17	0.3434466519
18	0.3368493354
19	0.3303857883
20	0.3273010715
21	0.3217886165
22	0.3165309187
23	0.3124227283
24	0.3085532575
25	0.3062649658
26	0.3025400925
27	0.2995501523
28	0.2964371025
29	0.2939161578
30	0.2911134016
31	0.2889857703
32	0.2864056657
33	0.2840990109
34	0.2822499582
35	0.2801899083
36	0.2783391372
37	0.2771394471
38	0.2759797543
39	0.2743348957
40	0.2727712837
41	0.2714702628
42	0.2703073812
43	0.2700376218
44	0.2684746854
45	0.2675133287
46	0.2668913903
47	0.265723147
48	0.2645487158
49	0.263598264
50	0.2626693232
51	0.2618384059
52	0.2609461145
53	0.2606690752
54	0.2599057088
55	0.2591402887
56	0.2584021663
57	0.2579821422
58	0.2571357579
59	0.2562876206
60	0.2558005368
61	0.2552803357
62	0.2545609749
63	0.253752962
64	0.2529902367
65	0.2524183401
66	0.2517823849
67	0.2508749487
68	0.2502621758
69	0.2498719899
70	0.2493648635
71	0.2486969641
72	0.2479382977
73	0.2475562775
74	0.247391503
75	0.2470105137
76	0.2466552336
77	0.2459163675
78	0.2453460434
79	0.2452197037
80	0.2447386645
81	0.2441012916
82	0.2440235972
83	0.2432470318
84	0.2424758279
85	0.2418673503
86	0.2413259322
87	0.2408644001
88	0.2404349169
89	0.2400588483
90	0.2396068819
91	0.2391695387
92	0.2385180331
93	0.2382435188
94	0.237894222
95	0.2374318036
96	0.237038471
97	0.2365703366
98	0.2362598439
99	0.2358273555
