iter	Passed	Remaining
0	36	3632
1	73	3593
2	124	4019
3	147	3548
4	163	3114
5	208	3265
6	265	3521
7	294	3381
8	334	3382
9	390	3511
10	405	3281
11	420	3085
12	462	3094
13	501	3079
14	541	3069
15	581	3051
16	587	2867
17	630	2871
18	675	2880
19	757	3028
20	766	2882
21	806	2858
22	846	2834
23	890	2819
24	923	2770
25	928	2642
26	960	2597
27	997	2565
28	1030	2521
29	1074	2506
30	1116	2485
31	1153	2452
32	1196	2429
33	1233	2394
34	1267	2354
35	1309	2327
36	1350	2299
37	1387	2263
38	1423	2226
39	1455	2183
40	1492	2147
41	1528	2111
42	1566	2076
43	1571	1999
44	1610	1968
45	1647	1933
46	1652	1863
47	1690	1831
48	1721	1791
49	1758	1758
50	1810	1739
51	1860	1717
52	1904	1689
53	1910	1627
54	1947	1593
55	1986	1560
56	2033	1534
57	2079	1505
58	2125	1476
59	2170	1446
60	2209	1412
61	2250	1379
62	2298	1349
63	2335	1313
64	2381	1282
65	2429	1251
66	2472	1217
67	2521	1186
68	2567	1153
69	2605	1116
70	2653	1083
71	2694	1047
72	2732	1010
73	2777	975
74	2784	928
75	2835	895
76	2886	862
77	2931	826
78	2969	789
79	2978	744
80	3019	708
81	3063	672
82	3070	628
83	3116	593
84	3165	558
85	3209	522
86	3254	486
87	3301	450
88	3343	413
89	3396	377
90	3437	340
91	3479	302
92	3526	265
93	3578	228
94	3627	190
95	3678	153
96	3718	114
97	3764	76
98	3804	38
99	3863	0
