iter	Passed	Remaining
0	38	3843
1	81	3973
2	119	3872
3	146	3511
4	162	3096
5	210	3290
6	263	3496
7	290	3339
8	335	3393
9	376	3390
10	389	3151
11	403	2959
12	441	2956
13	480	2949
14	523	2966
15	567	2979
16	576	2814
17	582	2654
18	632	2696
19	654	2619
20	672	2531
21	679	2409
22	717	2400
23	723	2292
24	762	2286
25	797	2269
26	845	2285
27	883	2270
28	919	2250
29	963	2247
30	1001	2229
31	1046	2223
32	1093	2219
33	1130	2194
34	1167	2168
35	1205	2143
36	1240	2112
37	1284	2095
38	1328	2078
39	1372	2058
40	1420	2044
41	1428	1972
42	1466	1943
43	1469	1870
44	1513	1849
45	1552	1822
46	1595	1799
47	1642	1778
48	1678	1747
49	1716	1716
50	1752	1683
51	1786	1648
52	1826	1619
53	1867	1590
54	1886	1543
55	1925	1513
56	1968	1484
57	2010	1455
58	2055	1428
59	2095	1397
60	2130	1361
61	2171	1331
62	2233	1311
63	2285	1285
64	2330	1254
65	2371	1221
66	2415	1189
67	2459	1157
68	2499	1122
69	2544	1090
70	2588	1057
71	2631	1023
72	2677	990
73	2726	957
74	2775	925
75	2822	891
76	2870	857
77	2912	821
78	2917	775
79	2957	739
80	2999	703
81	3049	669
82	3097	634
83	3140	598
84	3182	561
85	3227	525
86	3263	487
87	3312	451
88	3357	415
89	3408	378
90	3457	341
91	3497	304
92	3504	263
93	3548	226
94	3595	189
95	3632	151
96	3679	113
97	3720	75
98	3760	37
99	3769	0
