iter	Logloss
0	0.6481376095
1	0.6072367451
2	0.5719698698
3	0.5399308581
4	0.5149612057
5	0.4928454945
6	0.471983507
7	0.4546101847
8	0.4369966453
9	0.4211833532
10	0.4083419092
11	0.395283407
12	0.3827831557
13	0.373126238
14	0.363426714
15	0.354665431
16	0.3496387826
17	0.3445305676
18	0.3370129481
19	0.3310313953
20	0.3255084284
21	0.3224955091
22	0.3173174218
23	0.3131805819
24	0.3091137659
25	0.3056514204
26	0.3025053886
27	0.2990864275
28	0.2961383865
29	0.2931934038
30	0.2908510511
31	0.288357868
32	0.2855853924
33	0.2832941943
34	0.2813371231
35	0.2793695354
36	0.2776345562
37	0.2760980601
38	0.2746396241
39	0.2730445775
40	0.2717992374
41	0.2713945938
42	0.2699044379
43	0.2696456912
44	0.2682112376
45	0.2668413441
46	0.2656601468
47	0.2645122794
48	0.2632541394
49	0.2623394329
50	0.2615037875
51	0.26054584
52	0.2594378529
53	0.2582524109
54	0.257470089
55	0.2566145431
56	0.2558230202
57	0.255038788
58	0.2541344177
59	0.2532877265
60	0.2526886283
61	0.2521900053
62	0.2514094031
63	0.2507782803
64	0.2502383017
65	0.2493707817
66	0.2487774685
67	0.2482382609
68	0.2476883597
69	0.247240545
70	0.2467064139
71	0.2460635797
72	0.2455972352
73	0.2451313719
74	0.2445297758
75	0.2441641114
76	0.2436886519
77	0.2430137909
78	0.2428678842
79	0.2425026416
80	0.2421053553
81	0.2415948184
82	0.2412864874
83	0.2408321279
84	0.2404286712
85	0.2400151022
86	0.2395949989
87	0.2390269035
88	0.2386625969
89	0.2379977265
90	0.237480739
91	0.2368747161
92	0.2367576687
93	0.2362965109
94	0.2357798783
95	0.2353369096
96	0.2349093847
97	0.2343614544
98	0.2341028004
99	0.2339661746
